Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
31 AUG 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,31 AUG 2026,              10.00,         111695680,           1355.50,   151403494240.00     
31 AUG 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,31 AUG 2026,               5.00,         289175042,           1051.80,   304154309175.60   
31 AUG 2026,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,31 AUG 2026,              10.00,          24550000,            272.30,     6684965000.00 
31 AUG 2026,ACC,EQ,ACC LIMITED              ,Listed    ,31 AUG 2026,              10.00,         187787263,           1276.50,   239710441219.50       
31 AUG 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,31 AUG 2026,              10.00,          14926261,           1127.90,    16835329781.90   
31 AUG 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,31 AUG 2026,              10.00,          23989020,            596.65,    14313048783.00 
31 AUG 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,04 AUG 2026,              10.00,           3872000,            198.35,      768011200.00    
31 AUG 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,31 AUG 2026,              10.00,          11116000,            207.00,     2301012000.00     
31 AUG 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,31 AUG 2026,               1.00,         150560000,              4.45,      666980800.00  
31 AUG 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,31 AUG 2026,               2.00,         119083196,           1110.50,   132241889158.00       
31 AUG 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,31 AUG 2026,              10.00,          10200000,             17.05,      173910000.00  
31 AUG 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,31 AUG 2026,              10.00,          16383735,            139.00,     2277339165.00    
31 AUG 2026,ACGL,EQ,AUTOMOBILE CORPN OF GOA L,Permitted ,31 AUG 2026,              10.00,           6088622,           1805.00,    10989962710.00      
31 AUG 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,31 AUG 2026,               2.00,         123458394,            485.45,    59932877367.30       
31 AUG 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,31 AUG 2026,              10.00,          92172140,             43.70,     4029765960.80       
31 AUG 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,31 AUG 2026,               2.00,         706874336,            401.95,   284128139355.20 
31 AUG 2026,ACSTECH,BE,A C S TECHNOLOGIES LTD.  ,Permitted ,31 AUG 2026,              10.00,          60681608,             51.40,     3120248283.35   
31 AUG 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,31 AUG 2026,               5.00,          15015016,            172.50,     2590090260.00
31 AUG 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,31 AUG 2026,               5.00,          81871122,           3160.60,   258761868193.20   
31 AUG 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,31 AUG 2026,              10.00,        1201282642,           1417.40,  1702698016770.80
31 AUG 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,31 AUG 2026,               1.00,        1300905023,           2859.10,  3719417551259.30  
31 AUG 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,31 AUG 2026,              10.00,        1647176155,           1214.90,  2001154310709.50
31 AUG 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,31 AUG 2026,               2.00,        2303959098,           1593.10,  3670437239023.80
31 AUG 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,31 AUG 2026,               2.00,       19284694705,            198.00,  3818369551590.00
31 AUG 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,31 AUG 2026,              10.00,          15909732,             45.95,      731052185.40 
31 AUG 2026,ADDIND,EQ,ADDI INDUSTRIES LTD.     ,Permitted ,31 AUG 2026,               5.00,          10796574,             85.00,      917708790.00    
31 AUG 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,31 AUG 2026,               2.00,         109863595,            270.20,    29685143369.00  
31 AUG 2026,ADISOFT,SM,ADISOFT TECHNOLOGIES LTD ,Listed    ,31 AUG 2026,              10.00,          16318000,            193.20,     3152637600.00   
31 AUG 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,31 AUG 2026,              10.00,           5566250,             75.75,      421643437.50       
31 AUG 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,31 AUG 2026,              10.00,          17402815,           1705.20,    29675280138.00      
31 AUG 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,31 AUG 2026,              10.00,          54177208,             10.30,      558025242.40
31 AUG 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,31 AUG 2026,               5.00,          56568528,            105.20,     5950443460.30      
31 AUG 2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,31 AUG 2026,              10.00,          10943011,           2170.70,    23753993977.70    
31 AUG 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,31 AUG 2026,              10.00,          64285720,            116.40,     7484143522.40   
31 AUG 2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,31 AUG 2026,               2.00,          92438500,             49.85,     4608983610.00
31 AUG 2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,31 AUG 2026,              10.00,          53942887,            138.95,     7495364148.65 
31 AUG 2026,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,31 AUG 2026,               2.00,         111976150,            294.10,    32932185715.00
31 AUG 2026,ADVIKCA,EQ,ADVIK CAPITAL LTD.       ,Permitted ,31 AUG 2026,               1.00,         608520425,              1.15,      705883693.00   
31 AUG 2026,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,31 AUG 2026,               1.00,         351000000,           1264.60,   443874600000.00  
31 AUG 2026,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,31 AUG 2026,              10.00,        1107991489,            268.75,   297772712668.75
31 AUG 2026,AEPL,EQ,ARTEMIS ELECTRICALS & P L,Listed    ,31 AUG 2026,               1.00,         251036900,             15.05,     3778105345.00      
31 AUG 2026,AEQUS,EQ,AEQUS LIMITED            ,Listed    ,31 AUG 2026,              10.00,         670665635,            244.35,   163870441255.90     
31 AUG 2026,AEROENTER,EQ,AEROFLEX ENTERPRISES LTD ,Listed    ,31 AUG 2026,               2.00,         113085000,            138.45,    15656618250.00 
31 AUG 2026,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,31 AUG 2026,               2.00,         132330768,            525.40,    69526585507.20  
31 AUG 2026,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,31 AUG 2026,              10.00,          17020000,             71.05,     1209271000.00     
31 AUG 2026,AERONEU,EQ,AEROFLEX NEU LIMITED     ,Listed    ,31 AUG 2026,              10.00,          25796000,             80.00,     2063937960.00   
31 AUG 2026,AEROPLANE,EQ,AMIR CHAND JAG KUM (E) L ,Listed    ,31 AUG 2026,              10.00,         103551556,            174.35,    18052142757.50 
31 AUG 2026,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,31 AUG 2026,              10.00,          17220175,             70.25,     1209717293.75 
31 AUG 2026,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,31 AUG 2026,              10.00,         132712576,           1691.30,   224456779788.80    
31 AUG 2026,AFCONS,EQ,AFCONS INFRASTRUCTURE LTD,Listed    ,31 AUG 2026,              10.00,         367784631,            285.65,   105057679845.15    
31 AUG 2026,AFFLE,EQ,AFFLE 3I LIMITED         ,Listed    ,31 AUG 2026,               2.00,         140796384,           1597.90,   224978541993.60     
31 AUG 2026,AFFORDABLE,EQ,AFFORD ROBO & AUTO LTD   ,Listed    ,31 AUG 2026,              10.00,          11851105,            161.15,     1909568548.65
31 AUG 2026,AFIL,EQ,AKME FINTRADE (INDIA) LTD,Listed    ,31 AUG 2026,               1.00,         426749960,              9.45,     4041322121.20      
31 AUG 2026,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,31 AUG 2026,               2.00,          50792840,            212.10,    10773161364.00      
31 AUG 2026,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,31 AUG 2026,              10.00,          14957789,            458.20,     6853658919.80   
31 AUG 2026,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,31 AUG 2026,               1.00,         316983028,            513.20,   162675689969.60
31 AUG 2026,AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,Listed    ,31 AUG 2026,              10.00,           7243488,             30.50,      220926384.00 
31 AUG 2026,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,31 AUG 2026,              10.00,          17674600,            138.70,     2451467020.00
31 AUG 2026,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,31 AUG 2026,               2.00,          64697381,            776.10,    50211637394.10       
31 AUG 2026,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,31 AUG 2026,               1.00,         124997388,            285.00,    35624255580.00     
31 AUG 2026,AGL,EQ,ALLCARGO GLOBAL LIMITED  ,Listed    ,31 AUG 2026,               2.00,         982782096,             13.85,    13591876387.70       
31 AUG 2026,AGNI,SM,AGNI GREEN POWER LTD     ,Listed    ,31 AUG 2026,              10.00,          19534800,             15.50,      302789400.00      
31 AUG 2026,AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,Listed    ,31 AUG 2026,              10.00,           5940000,            101.55,      603207000.00  
31 AUG 2026,AGROPHOS,EQ,AGRO PHOS INDIA LIMITED  ,Listed    ,31 AUG 2026,              10.00,          20274115,             26.35,      534222930.25  
31 AUG 2026,AGSTRA,BZ,AGS TRANSACT TECH LTD    ,Listed    ,31 AUG 2026,              10.00,         128433076,              2.00,      255581821.25    
31 AUG 2026,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,31 AUG 2026,              10.00,           5484000,             45.90,      251715600.00      
31 AUG 2026,AHCL,EQ,ANLON HEALTHCARE LIMITED ,Listed    ,31 AUG 2026,               2.00,         531515000,             15.85,     8429827900.00      
31 AUG 2026,AHIMSA,ST,AHIMSA INDUSTRIES LTD.   ,Listed    ,21 AUG 2026,              10.00,           5473990,             25.80,      141228942.00    
31 AUG 2026,AHLADA,EQ,AHLADA ENGINEERS LIMITED ,Listed    ,31 AUG 2026,              10.00,          12921000,             38.70,      499784280.00    
31 AUG 2026,AHLEAST,EQ,ASIAN HOTELS (EAST) LTD  ,Listed    ,31 AUG 2026,              10.00,          17291696,            138.05,     2387118632.80   
31 AUG 2026,AHLUCONT,EQ,AHLUWALIA CONT IND LTD   ,Listed    ,31 AUG 2026,               2.00,          66987560,            619.20,    41478697152.00  
31 AUG 2026,AHLWEST,BE,ASIAN HOTELS (WEST) LTD  ,Listed    ,31 AUG 2026,              10.00,          11651210,            549.10,     6397679411.00   
31 AUG 2026,AIAENG,EQ,AIA ENGINEERING LIMITED  ,Listed    ,31 AUG 2026,               2.00,          93320370,           4257.50,   397311475275.00    
31 AUG 2026,AIIL,EQ,AUTHUM INVEST & INFRA LTD,Listed    ,31 AUG 2026,               1.00,         849225500,            560.90,   476330582950.00      
31 AUG 2026,AILIMITED,SM,ABHISHEK INTEGRATIONS LTD,Listed    ,28 AUG 2026,              10.00,          12676140,             18.90,      239579046.00 
31 AUG 2026,AIMTRON,SM,AIMTRON ELECTRONICS LTD  ,Listed    ,31 AUG 2026,              10.00,          20609177,           1635.80,    33712491736.60   
31 AUG 2026,AIRAN,EQ,AIRAN LIMITED            ,Listed    ,31 AUG 2026,               2.00,         125020000,             14.90,     1860297600.00     
31 AUG 2026,AIROLAM,EQ,AIRO LAM LIMITED         ,Listed    ,31 AUG 2026,              10.00,          15002000,             88.10,     1321526180.00   
31 AUG 2026,AISL,SM,ANI INTEGRATED SERV LTD. ,Listed    ,27 AUG 2026,              10.00,          11687200,             56.60,      661495520.00      
31 AUG 2026,AJANTPHARM,EQ,AJANTA PHARMA LIMITED    ,Listed    ,31 AUG 2026,               2.00,         124935624,           3601.90,   450005624085.60
31 AUG 2026,AJAXENGG,EQ,AJAX ENGINEERING LIMITED ,Listed    ,31 AUG 2026,               1.00,         114406800,            574.50,    65726706600.00  
31 AUG 2026,AJMERA,EQ,AJMERA REALTY & INF I LTD,Listed    ,31 AUG 2026,               2.00,         196795650,            116.90,    23005411485.00    
31 AUG 2026,AJOONI,EQ,AJOONI BIOTECH LIMITED   ,Listed    ,31 AUG 2026,               2.00,         172243598,              3.85,      661415416.30    
