Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
14 AUG 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
14 AUG 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,14 AUG 2026,              10.00,         111695680,           1402.90,   156697869472.00     
14 AUG 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,14 AUG 2026,               5.00,         289175042,           1011.20,   292413802470.40   
14 AUG 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,14 AUG 2026,              10.00,          24550000,            234.45,     5755747500.00 
14 AUG 2026,ACC,EQ,ACC LIMITED              ,Listed    ,14 AUG 2026,              10.00,         187787263,           1321.40,   248142089328.20       
14 AUG 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,14 AUG 2026,              10.00,          14926261,           1139.70,    17011459661.70   
14 AUG 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,14 AUG 2026,              10.00,          23989020,            583.00,    13985598660.00 
14 AUG 2026,ACCORD,ST,ACCORD SYNERGY LIMITED   ,Listed    ,04 AUG 2026,              10.00,           3872000,            198.35,      768011200.00    
14 AUG 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,14 AUG 2026,              10.00,          11116000,            190.50,     2117598000.00     
14 AUG 2026,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,14 AUG 2026,               1.00,         150560000,              4.85,      727204800.00  
14 AUG 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,14 AUG 2026,               2.00,         119083196,           1085.60,   129276717577.60       
14 AUG 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,14 AUG 2026,              10.00,          10200000,             17.80,      181560000.00  
14 AUG 2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,14 AUG 2026,              10.00,          16383735,            127.05,     2081553531.75    
14 AUG 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,14 AUG 2026,               2.00,         123458394,            503.30,    62136609700.20       
14 AUG 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,14 AUG 2026,              10.00,          92172140,             46.15,     4252822539.60       
14 AUG 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,14 AUG 2026,               2.00,         706874336,            374.10,   264441689097.60 
14 AUG 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,14 AUG 2026,              10.00,          60681608,             50.00,     3032866767.85   
14 AUG 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,10 AUG 2026,               5.00,          15015016,            170.00,     2552552720.00
14 AUG 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,14 AUG 2026,               5.00,          81871122,           3235.60,   264902202343.20   
14 AUG 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,14 AUG 2026,              10.00,        1201282642,           1616.00,  1941272749472.00
14 AUG 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,14 AUG 2026,               1.00,        1300905023,           3035.10,  3948376835307.30  
14 AUG 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,14 AUG 2026,              10.00,        1647176155,           1348.00,  2220393456940.00
14 AUG 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,14 AUG 2026,               2.00,        2303959098,           1700.00,  3916730466600.00
14 AUG 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,14 AUG 2026,               2.00,       19284694705,            205.25,  3958183588201.25
14 AUG 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,14 AUG 2026,              10.00,          15909732,             42.15,      670595203.80 
14 AUG 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,14 AUG 2026,               2.00,         109863595,            262.45,    28833700507.75  
14 AUG 2026,ADISOFT,SM,ADISOFT TECHNOLOGIES LTD ,Listed    ,14 AUG 2026,              10.00,          16318000,            183.30,     2991089400.00   
14 AUG 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,14 AUG 2026,              10.00,           5566250,             69.55,      387077025.00       
14 AUG 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,14 AUG 2026,              10.00,          17402815,           1538.50,    26774230877.50      
14 AUG 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,14 AUG 2026,              10.00,          54177208,              9.80,      531478410.50
14 AUG 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,14 AUG 2026,               5.00,          56568528,            112.80,     6382061328.95      
14 AUG 2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,14 AUG 2026,              10.00,          10943011,           2095.20,    22927796647.20    
