2026-08-11,0,77
1,SENSEX,30
2,BSE100,100
3,BSE200,200
4,BSE500,501
7,BSE CG,34
8,BSE CD,10
10,BSEPSU,61
11,TECK,22
12,BANKEX,14
13,AUTO,21
14,METAL,12
15,OILGAS,10
21,REALTY,10
22,POWER,17
23,BSEIPO,110
27,SMEIPO,164
28,INFRA,29
29,CPSE,53
32,BSEFMC,101
33,BSE HC,125
34,BSE IT,78
35,MFG,29
37,COMDTY,189
38,CONDIS,376
39,ENERGY,33
40,FINSER,186
41,INDSTR,318
43,MIDSEL,30
44,SMLSEL,58
45,TELCOM,19
46,UTILS,34
47,SNSX50,50
48,SNXT50,50
49,BHRT22,22
50,ESG100,94
55,MID150,150
56,SML250,251
57,LMI250,250
58,MSL400,401
59,BSEDSI,73
60,BSEEVI,30
61,BSELVI,30
62,BSEMOI,29
63,BSEQUI,30
64,DFRGRI,55
65,LCTMCI,100
66,BSEPBI,12
67,BSESER,68
68,SNXN30,30
69,SNSX60,60
70,SS6535,60
71,POWENE,36
72,200EQW,200
73,INTECO,20
74,CAPINS,26
75,FOCIT,14
76,PRECON,31
77,FOCMID,20
78,BBGEFS,30
79,SENEQW,30
80,SELIPO,71
81,PSUBNK,11
82,INSLDR,60
83,BS1000,1003
89,QUAL50,50
90,IND150,150
91,DIVY50,50
93,MOME50,50
95,INSURE,13
96,INDDEF,33
99,BSHOSP,17
102,T10BNK,10
109,MMOM30,30
114,BSMSPB,18
123,BSHFIN,11
126,BLMD50,50
127,BSEMSP,18
1,500247,7360384100
1,532215,2860599240
1,532454,3046637500
1,532174,7169482000
1,500875,9647690360
1,500209,3487835780
1,500510,1169317800
1,500520,895340880
1,532500,128905230
1,532555,4751366340
1,500180,15241580640
1,500696,892844580
1,500325,6766269500
1,500112,4153778100
1,524715,1079675100
1,532540,1013064640
1,500820,450823060
1,532755,636970100
1,500034,2677161510
1,532281,1058329350
1,532978,560192500
1,543320,7237763250
1,500114,408381560
1,532538,117871600
1,532921,737266880
1,532898,4557295960
1,500049,3581791710
1,500251,330602910
1,500470,8239072380
1,539448,224260480
2,541154,187257000
2,533179,108847500
2,532810,1452044880
2,532343,232792630
2,532648,17573046400
2,500850,882527840
2,539437,6628402550
2,500490,42291720
2,500469,2464377000
2,500300,374288750
2,500477,2819450400
2,500093,677222910
2,543396,422518800
2,505200,137157000
2,540699,41345360
2,534816,1292699870
2,532541,348813120
2,500049,3581791710
2,503806,145248250
2,543220,739665440
2,532432,290940400
2,540180,1352918400
2,500034,2677161510
2,532777,382568390
2,540719,451391400
2,539448,224260480
2,532667,12069455200
2,533096,4049785950
2,543940,3367602420
2,543390,374781330
2,517334,4432712340
2,543320,7237763250
2,532538,117871600
2,511218,1741094940
2,500112,4153778100
2,524715,1079675100
2,532540,1013064640
2,500800,643215300
2,500570,2098988520
2,500400,1661576800
2,500470,8239072380
2,532755,636970100
2,500114,408381560
2,532921,737266880
2,500820,450823060
2,532215,2860599240
2,532977,106209240
2,500547,1952311050
2,532454,3046637500
2,500087,565448100
2,533278,2280209360
2,532488,127425120
2,500124,609271140
2,532155,2695791000
2,532424,388833100
2,532281,1058329350
2,500180,15241580640
2,500182,128059520
2,500440,1438225280
2,500696,892844580
2,532174,7169482000
2,530965,3671521880
2,532187,654453240
2,500209,3487835780
2,500228,929272520
2,500875,9647690360
2,500247,7360384100
2,500520,895340880
2,532500,128905230
2,532555,4751366340
2,500790,713476180
2,500312,3899886490
2,500510,1169317800
2,500257,242324480
2,532898,4557295960
2,500325,6766269500
2,540005,91912830
2,540716,244480110
2,540376,163041000
2,500251,330602910
2,507685,2833472880
2,531642,532304640
2,544569,2098928670
2,540611,561417000
2,508869,102087350
2,532978,560192500
2,532868,643581120
2,512599,335980500
2,517354,250902800
2,511243,434685240
2,500825,118025320
2,532483,3356140870
2,500480,135828000
2,541729,201379960
2,532461,3447882900
2,532955,1237615280
2,532134,1861690320
2,540777,1078910000
2,500331,305332500
2,500387,13349970
3,502355,79259970
3,540133,391616640
3,505790,40639040
3,542066,274952500
3,512599,335980500
3,541729,201379960
3,543187,12480160
3,544252,1083203550
3,532830,120892500
3,539523,58586850
3,533398,108396360
3,532478,71389350
3,500575,225001800
3,507685,2833472880
3,512070,557151540
3,532538,117871600
3,532477,1908401500
3,500660,40657440
3,532281,1058329350
3,500180,15241580640
3,517354,250902800
3,500182,128059520
3,500440,1438225280
3,500104,957520350
3,500696,892844580
3,500188,464785090
3,532174,7169482000
3,500116,537620100
3,532779,191483520
3,532321,251558500
3,500087,565448100
3,533278,2280209360
3,500830,130553280
3,532483,3356140870
3,539448,224260480
3,500480,135828000
3,532868,643581120
3,500096,585317700
3,532488,127425120
3,500124,609271140
3,505200,137157000
3,500425,625705500
3,500469,2464377000
3,532155,2695791000
3,532424,388833100
3,508869,102087350
3,544569,2098928670
3,509480,279840720
3,500049,3581791710
3,500493,267729840
3,500547,1952311050
3,532454,3046637500
3,534816,1292699870
3,532523,713199520
3,500530,8553260
3,500825,118025320
3,532814,350210640
3,526371,3428809020
3,532921,737266880
3,533096,4049785950
3,532725,24432300
3,500477,2819450400
3,500820,450823060
3,524804,278784960
3,532215,2860599240
3,532977,106209240
3,500034,2677161510
3,532978,560192500
3,500490,42291720
3,532134,1861690320
3,532149,1229220360
3,543526,505999840
3,540699,41345360
3,544162,75000000
3,500251,330602910
3,540376,163041000
3,532541,348813120
3,532667,12069455200
3,533758,199913760
3,500271,262287400
3,539437,6628402550
3,511243,434685240
3,500875,9647690360
3,500850,882527840
3,530965,3671521880
3,532187,654453240
3,532777,382568390
3,500209,3487835780
3,533148,527187600
3,500228,929272520
3,500510,1169317800
3,500257,242324480
3,500290,2035680
3,532720,653286370
3,500520,895340880
3,531642,532304640
3,532500,128905230
3,541154,187257000
3,532286,367231680
3,500247,7360384100
3,526299,131692020
3,533098,3113960850
3,532555,4751366340
3,500790,713476180
3,500312,3899886490
3,533106,536780640
3,532466,23506740
3,532827,6246240
3,532522,750000000
3,500331,305332500
3,532810,1452044880
3,532898,4557295960
3,532461,3447882900
3,500325,6766269500
3,532955,1237615280
3,500387,13349970
3,511218,1741094940
3,500550,89030250
3,532343,232792630
3,532540,1013064640
3,500800,643215300
3,500570,2098988520
3,500400,1661576800
3,500470,8239072380
3,532755,636970100
3,524715,1079675100
3,509930,64783770
3,500114,408381560
3,500420,142907780
3,500112,4153778100
3,500113,1445532200
3,500495,33563400
3,523457,21321000
3,540691,812452650
3,543904,111463560
3,541450,329435200
3,532754,3590051840
3,533274,167984700
3,503100,185970200
3,543257,1960275900
3,543287,279719720
3,543220,739665440
3,543384,1374423360
3,543390,374781330
3,532388,1347961300
3,500483,116850000
3,532432,290940400
3,517334,4432712340
3,532843,520921020
3,522275,122902560
3,543396,422518800
3,544390,89030250
3,544307,2757204520
3,532822,27085758750
3,500002,52977000
3,542830,304000000
3,543066,294997550
3,500368,348193280
3,532648,17573046400
3,542652,52694950
3,533179,108847500
3,540762,104518620
3,543320,7237763250
3,523642,80410540
3,544277,94924830
3,544289,926896300
3,544285,1407760140
3,544274,138131970
3,543278,382113800
3,512455,125387950
3,544603,878303580
